Date,Open,High,Low,Close
2016-01-01,26101.5,26197.27,26008.2,26160.9
2016-01-04,26116.52,26116.52,25596.57,25623.35
2016-01-05,25744.7,25766.76,25513.75,25580.34
2016-01-06,25628.23,25632.57,25357.7,25406.33
2016-01-07,25224.7,25230.35,24825.7,24851.83
2016-01-08,24969.02,25083.55,24887.22,24934.33
2016-01-11,24787.11,24961.88,24598.9,24825.04
2016-01-12,24862.93,24882.3,24597.11,24682.03
2016-01-13,24804.64,24956.54,24387.69,24854.11
2016-01-14,24606.2,25018.46,24473.22,24772.97
2016-01-15,24881.76,24912.64,24421.53,24455.04
2016-01-18,24400.78,24524.85,24141.99,24188.37
2016-01-19,24257.28,24563.34,24247.23,24479.84
2016-01-20,24325.77,24325.77,23839.76,24062.04
2016-01-21,24194.75,24351.83,23862,23962.21
2016-01-22,24122.06,24472.88,24120.04,24435.66
2016-01-25,24540.97,24650.57,24433.67,24485.95
2016-01-27,24643.13,24645.7,24458.13,24492.39
2016-01-28,24481.86,24587.2,24400.52,24469.57
2016-01-29,24347.31,24911.9,24340.06,24870.69
2016-02-01,24982.22,25002.32,24788.58,24824.83
2016-02-02,24868.21,24928.75,24460.53,24539
2016-02-03,24393.59,24409.26,24187.54,24223.32
2016-02-04,24386.45,24514.01,24224.74,24338.43
2016-02-05,24360.36,24672.9,24345.79,24616.97
2016-02-08,24637.41,24698.95,24196.84,24287.42
2016-02-09,24076.85,24111.19,23919.47,24020.98
2016-02-10,23938.32,23938.32,23636.72,23758.9
2016-02-11,23758.46,23758.46,22909.12,22951.83
2016-02-12,23060.39,23161.15,22600.39,22986.12
2016-02-15,23223.43,23622.64,23197.67,23554.12
2016-02-16,23688.61,23692.08,23164.54,23191.97
2016-02-17,23237.23,23434.91,22920.84,23381.87
2016-02-18,23536.47,23735.35,23448.21,23649.22
2016-02-19,23640.32,23774.48,23508.36,23709.15
2016-02-22,23783.47,23855.04,23674.86,23788.79
2016-02-23,23850.41,23851.51,23361.94,23410.18
2016-02-24,23332.94,23338.89,23057.45,23088.93
2016-02-25,23105.16,23142.96,22948.1,22976
2016-02-26,23141.08,23227.91,23021.94,23154.3
2016-02-29,23238.5,23343.22,22494.61,23002
2016-03-01,23153.32,23821.49,23133.18,23779.35
2016-03-02,24044.96,24280.42,24043.89,24242.98
2016-03-03,24386.67,24640.51,24383.28,24606.99
2016-03-04,24704.59,24719.05,24531.8,24646.48
2016-03-08,24655.19,24793.62,24509.21,24659.23
2016-03-09,24527.27,24820.76,24451.6,24793.96
2016-03-10,24815.7,24817.48,24471.39,24623.34
2016-03-11,24620.39,24817.8,24552.26,24717.99
2016-03-14,24801.7,24960.51,24734.04,24804.28
2016-03-15,24832.04,24840.77,24517.28,24551.17
2016-03-16,24537.61,24706.85,24354.55,24682.48
2016-03-17,24852.18,24948.3,24576.52,24677.37
2016-03-18,24729.41,24986.94,24681.64,24952.74
2016-03-21,25007.56,25327.45,24988.27,25285.37
2016-03-22,25331.01,25381.33,25083.7,25330.49
2016-03-23,25322.1,25367.81,25156.82,25337.56
2016-03-28,25417.11,25432.94,24895.49,24966.4
2016-03-29,24957.24,25079.35,24835.56,24900.46
2016-03-30,25062.06,25358.84,25055.42,25338.58
2016-03-31,25364.75,25479.62,25223.22,25341.86
2016-04-01,25301.7,25354.94,25119.35,25269.64
2016-04-04,25333.98,25424.15,25223.49,25399.65
2016-04-05,25372.44,25372.44,24837.51,24883.59
2016-04-06,24978.86,25000.65,24834.16,24900.63
2016-04-07,24998.79,25013.13,24647.48,24685.42
2016-04-08,24665.8,24736.03,24608.51,24673.84
2016-04-11,24789.4,25049.92,24523.2,25022.16
2016-04-12,25056.47,25180.02,24996.44,25145.59
2016-04-13,25358.42,25671.5,25358.42,25626.75
2016-04-18,25833.16,25870.03,25634.12,25816.36
2016-04-20,25942.34,25956.34,25716.81,25844.18
2016-04-21,25979.68,26080.07,25783.12,25880.38
2016-04-22,25892.49,25922.02,25771.88,25838.14
2016-04-25,25891.03,25891.03,25585.93,25678.93
2016-04-26,25604.92,26055,25549.05,26007.3
2016-04-27,25956.42,26092.93,25885.24,26064.12
